method,T,min_eig,condition_number,segment_coverage,err_B,err_D,train_nll,test_nll,train_time,seed
gpe,200,91.27024735416587,1.1912945543337814,0.3877181799791442,0.010897606821193211,0.2112477130757355,0.12208583307867274,0.3617515295490968,2.811392307281494,0
white_noise,200,66.17569002701096,1.31294738748985,0.6876549408398265,0.03690394702149398,0.030570109849471675,0.12316900574477366,0.054345788623829605,2.3031928539276123,0
multi_sine,200,45.365773746067894,2.540616400647458,0.5796937228145327,0.018305882499145477,0.05655851012249233,0.00860103450496925,0.0527768531086924,2.0316002368927,0
piecewise_gaussian,200,80.12547284988462,1.4960850636669691,0.47330507075725337,0.02121761151195128,0.0859011285353071,0.056544469783169175,0.06859204321436325,2.057729482650757,0
sphere_random_walk,200,75.45180131340702,1.6506987575960896,0.3906065882293807,0.015012522137296553,0.29465185765880136,-0.028066028053065885,0.44422676067149564,2.4775540828704834,0
gpe,500,227.39473462512504,1.1988195585274293,0.1966792586450888,0.023780352111666462,0.1229239429815016,-0.01863984778772132,0.09380038281365181,2.5613062381744385,0
white_noise,500,194.06733695463456,1.018193735821096,0.2777508703666002,0.024704644328619612,0.05235209181564615,-0.01261408793711027,0.04256037853591897,2.409541368484497,0
multi_sine,500,125.4851396473909,2.121418481960357,0.26993032835270575,0.021476661945958098,0.0926457665669031,0.014186166877662746,0.10454226133060843,2.609600067138672,0
piecewise_gaussian,500,203.42700530625913,1.45788404173332,0.1757906877979609,0.007791103947099206,0.06004445888664095,0.01624821106210605,0.0537480716421174,2.326367139816284,0
sphere_random_walk,500,211.46101352757262,1.3645020027990589,0.35103809352416065,0.01096859054753695,0.14514488501891046,-0.01776314399846996,0.14826916550384237,2.304178237915039,0
gpe,1000,451.91101744338744,1.2128249619963225,0.09207645380890132,0.007829451001597093,0.09584516665965775,0.013867253182474537,0.11712014642495124,2.9100348949432373,0
white_noise,1000,379.99227960552076,1.0269167596371531,0.15243139310259968,0.023810309705169938,0.018234711649424223,-0.018318913371850834,0.036499663066385565,2.907196283340454,0
multi_sine,1000,348.9163022783041,1.315768994252112,0.14689626173763032,0.013296603692304797,0.04876351026367916,0.05837172267586788,0.04424065407670861,2.8743913173675537,0
piecewise_gaussian,1000,463.23698614128693,1.1587222305580087,0.13632344798451612,0.009305231432364178,0.07206366346783134,0.031948136109147235,0.05068963407257595,2.7993857860565186,0
sphere_random_walk,1000,401.0470831872755,1.4934727664703853,0.29866884430195373,0.009942014951756749,0.16491326250610144,0.04335312145265659,0.15907408147660132,3.342393159866333,0
gpe,200,90.56067748687134,1.2084639994977242,0.38796348963883287,0.014926989203126255,0.14570405808769277,-0.41831372493269975,-0.22341965874285055,1.9803030490875244,1
white_noise,200,72.32997906318313,1.1527453317745155,0.43726398075537226,0.054838861345389976,0.049343118493710515,-0.3324524231688064,-0.3933845954697953,1.9618685245513916,1
multi_sine,200,75.04115543439343,1.0713213341250236,0.44998572941145076,0.03232198374515387,0.07386415751954571,-0.48636914334180514,-0.3756965963695486,2.066716432571411,1
piecewise_gaussian,200,85.33427140935832,1.3437241883796347,0.4682582037621535,0.022867334667479634,0.06522524268253058,-0.375070831819838,-0.39038441834908955,2.0753793716430664,1
sphere_random_walk,200,71.49753100261606,1.797299336007877,1.1294036146258353,0.03299631095207003,0.23884599824126299,-0.45683237343767713,0.163651430343671,2.092418670654297,1
gpe,500,241.3714190657651,1.071496252270288,0.1931874631633523,0.01801647034764122,0.19110410413778015,-0.4558375831007153,-0.19345458112015015,2.4866750240325928,1
white_noise,500,183.60911086419313,1.0975120587387268,0.2544876393958996,0.031022498961409538,0.03645242064590698,-0.5001712972561247,-0.4014345355957168,2.861748456954956,1
multi_sine,500,108.10624150698213,2.5016403293741734,0.44638545103021426,0.021301309618739547,0.09128927179386054,-0.39806638796453175,-0.36902090830127104,2.380159378051758,1
piecewise_gaussian,500,220.0866634752247,1.2718322959907906,0.29439404482627923,0.019399318428433555,0.051379319392376235,-0.4033055687315002,-0.3865995404795721,2.3713905811309814,1
sphere_random_walk,500,226.2050019025754,1.2103843230452755,0.2696513116508682,0.00803808752858613,0.13422835870730376,-0.46693670436963625,-0.2881317328346586,2.333756685256958,1
gpe,1000,494.8578711482876,1.020782204958093,0.09475314267122512,0.012980193113146398,0.07411337132371654,-0.4698848807129559,-0.3777649936644339,4.174715042114258,1
white_noise,1000,376.42737734929244,1.0829635661068246,0.14875406620422602,0.019221124011130176,0.020371104845097424,-0.39471827939570364,-0.41306555650324334,2.7827422618865967,1
multi_sine,1000,326.3862691072344,1.3361467136356289,0.1504511991651254,0.006014855032691077,0.023105823082660612,-0.4185355850728678,-0.41305293261601495,2.762998342514038,1
piecewise_gaussian,1000,412.29686212988906,1.4254367953079845,0.18250065613595423,0.0073898437985403485,0.029541138534986727,-0.4033977597465413,-0.40573513253960575,2.856046676635742,1
sphere_random_walk,1000,455.9420520179289,1.193261129509851,0.2168836435245507,0.020681830966333855,0.06890829987878144,-0.40151947914774233,-0.39522181922296107,2.9804909229278564,1
gpe,200,88.87843923971919,1.2502644928365982,0.391802952937013,0.017037483610625025,0.5728966394137003,0.16537468163313954,0.8957798260966763,2.463517665863037,2
